軸数,条件,値,レース数,的中数,的中率,投資額,払戻額,回収率,収支
3,人気帯 × オッズ帯 × 距離帯,1番人気 / 3〜10倍 / マイル,54,10,18.5,5400,3260,60.4,-2140
2,オッズ帯 × 距離帯,10〜30倍 / 短距離,67,3,4.5,6700,4040,60.3,-2660
2,人気帯 × 距離帯,4〜6番人気 / マイル,61,5,8.2,6100,3680,60.3,-2420
3,勝率差帯 × 距離帯 × パターン,差3〜5% / マイル / 波乱型,43,9,20.9,4300,2570,59.8,-1730
2,人気帯 × 頭数帯,4〜6番人気 / 15頭〜,203,15,7.4,20300,12110,59.7,-8190
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差5〜10% / 短距離,33,2,6.1,3300,1960,59.4,-1340
3,勝率差帯 × 芝ダ × オッズ帯,差<3% / ダート / 10〜30倍,48,2,4.2,4800,2840,59.2,-1960
3,人気帯 × 距離帯 × パターン,2〜3番人気 / 短距離 / 波乱型,92,14,15.2,9200,5380,58.5,-3820
3,芝ダ × 距離帯 × パターン,芝 / 短距離 / 波乱型,118,17,14.4,11800,6880,58.3,-4920
3,人気帯 × 勝率差帯 × オッズ帯,4〜6番人気 / 差<3% / 3〜10倍,155,12,7.7,15500,9040,58.3,-6460
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差<3% / 中距離,83,6,7.2,8300,4820,58.1,-3480
3,頭数帯 × 距離帯 × パターン,〜10頭 / 短距離 / 本命型,38,11,28.9,3800,2170,57.1,-1630
3,勝率差帯 × 頭数帯 × 距離帯,差10%〜 / 〜10頭 / 短距離,38,11,28.9,3800,2170,57.1,-1630
3,人気帯 × 距離帯 × パターン,7番人気〜 / 短距離 / 波乱型,33,1,3.0,3300,1880,57.0,-1420
3,勝率差帯 × 頭数帯 × 距離帯,差<3% / 〜10頭 / 短距離,36,7,19.4,3600,2010,55.8,-1590
2,人気帯 × 芝ダ,4〜6番人気 / ダート,199,14,7.0,19900,11090,55.7,-8810
3,人気帯 × 頭数帯 × 距離帯,4〜6番人気 / 15頭〜 / 中距離,67,5,7.5,6700,3710,55.4,-2990
3,人気帯 × 芝ダ × オッズ帯,4〜6番人気 / ダート / 3〜10倍,138,11,8.0,13800,7650,55.4,-6150
3,勝率差帯 × 芝ダ × 距離帯,差<3% / ダート / マイル,45,10,22.2,4500,2490,55.3,-2010
3,人気帯 × オッズ帯 × パターン,4〜6番人気 / 10〜30倍 / 波乱型,85,4,4.7,8500,4630,54.5,-3870
3,人気帯 × 勝率差帯 × 頭数帯,2〜3番人気 / 差5〜10% / 15頭〜,155,22,14.2,15500,8340,53.8,-7160
3,人気帯 × 勝率差帯 × 頭数帯,4〜6番人気 / 差<3% / 11〜14頭,73,5,6.8,7300,3890,53.3,-3410
3,頭数帯 × 芝ダ × オッズ帯,〜10頭 / ダート / 3〜10倍,65,8,12.3,6500,3460,53.2,-3040
3,人気帯 × 頭数帯 × 距離帯,4〜6番人気 / 15頭〜 / マイル,32,2,6.2,3200,1700,53.1,-1500
3,人気帯 × 勝率差帯 × パターン,4〜6番人気 / 差<3% / 混戦型,125,9,7.2,12500,6620,53.0,-5880
2,人気帯 × 芝ダ,7番人気〜 / ダート,65,2,3.1,6500,3440,52.9,-3060
3,人気帯 × 勝率差帯 × 芝ダ,7番人気〜 / 差<3% / ダート,30,1,3.3,3000,1560,52.0,-1440
3,勝率差帯 × 距離帯 × パターン,差<3% / 短距離 / 波乱型,214,35,16.4,21400,11060,51.7,-10340
3,芝ダ × 距離帯 × パターン,ダート / マイル / 波乱型,35,7,20.0,3500,1780,50.9,-1720
3,人気帯 × 頭数帯 × 距離帯,4〜6番人気 / 11〜14頭 / 短距離,47,3,6.4,4700,2390,50.9,-2310
3,人気帯 × 芝ダ × 距離帯,7番人気〜 / ダート / 短距離,38,1,2.6,3800,1880,49.5,-1920
3,人気帯 × 距離帯 × パターン,4〜6番人気 / 短距離 / 混戦型,99,6,6.1,9900,4830,48.8,-5070
3,人気帯 × オッズ帯 × 距離帯,4〜6番人気 / 10〜30倍 / 短距離,46,2,4.3,4600,2160,47.0,-2440
3,勝率差帯 × 頭数帯 × 距離帯,差10%〜 / 〜10頭 / マイル,38,10,26.3,3800,1730,45.5,-2070
3,頭数帯 × 距離帯 × パターン,〜10頭 / マイル / 本命型,38,10,26.3,3800,1730,45.5,-2070
2,人気帯 × 勝率差帯,4〜6番人気 / 差<3%,229,13,5.7,22900,10320,45.1,-12580
3,人気帯 × 芝ダ × パターン,4〜6番人気 / ダート / 混戦型,119,7,5.9,11900,5230,43.9,-6670
3,人気帯 × 頭数帯 × 芝ダ,4〜6番人気 / 15頭〜 / ダート,107,6,5.6,10700,4690,43.8,-6010
3,人気帯 × 頭数帯 × パターン,4〜6番人気 / 15頭〜 / 波乱型,74,4,5.4,7400,3240,43.8,-4160
3,頭数帯 × 距離帯 × パターン,11〜14頭 / マイル / 波乱型,45,7,15.6,4500,1950,43.3,-2550
3,勝率差帯 × 頭数帯 × 芝ダ,差<3% / 〜10頭 / ダート,48,9,18.8,4800,2080,43.3,-2720
3,勝率差帯 × 頭数帯 × 距離帯,差<3% / 11〜14頭 / マイル,56,8,14.3,5600,2420,43.2,-3180
3,人気帯 × 芝ダ × 距離帯,4〜6番人気 / ダート / 短距離,99,5,5.1,9900,4230,42.7,-5670
3,頭数帯 × 芝ダ × 距離帯,〜10頭 / ダート / 短距離,50,9,18.0,5000,2120,42.4,-2880
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差<3% / 短距離,95,5,5.3,9500,3930,41.4,-5570
2,人気帯 × 距離帯,7番人気〜 / 短距離,51,1,2.0,5100,1880,36.9,-3220
3,人気帯 × 勝率差帯 × パターン,4〜6番人気 / 差<3% / 波乱型,104,4,3.8,10400,3700,35.6,-6700
3,人気帯 × 勝率差帯 × 頭数帯,4〜6番人気 / 差<3% / 15頭〜,128,5,3.9,12800,4070,31.8,-8730
2,人気帯 × 頭数帯,7番人気〜 / 11〜14頭,50,1,2.0,5000,1300,26.0,-3700
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差<3% / ダート,115,3,2.6,11500,2620,22.8,-8880
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差<3% / マイル,37,1,2.7,3700,780,21.1,-2920
3,人気帯 × 頭数帯 × オッズ帯,4〜6番人気 / 15頭〜 / 10〜30倍,59,1,1.7,5900,1140,19.3,-4760
3,人気帯 × 勝率差帯 × オッズ帯,4〜6番人気 / 差<3% / 10〜30倍,71,1,1.4,7100,1280,18.0,-5820
1,オッズ帯,30倍〜,55,0,0.0,5500,0,0.0,-5500
2,芝ダ × オッズ帯,ダート / 30倍〜,46,0,0.0,4600,0,0.0,-4600
2,人気帯 × オッズ帯,7番人気〜 / 30倍〜,49,0,0.0,4900,0,0.0,-4900
3,人気帯 × 頭数帯 × オッズ帯,7番人気〜 / 11〜14頭 / 30倍〜,30,0,0.0,3000,0,0.0,-3000
3,人気帯 × 頭数帯 × 芝ダ,7番人気〜 / 11〜14頭 / ダート,40,0,0.0,4000,0,0.0,-4000
2,オッズ帯 × 距離帯,30倍〜 / 短距離,32,0,0.0,3200,0,0.0,-3200
2,オッズ帯 × パターン,30倍〜 / 波乱型,30,0,0.0,3000,0,0.0,-3000
2,頭数帯 × オッズ帯,11〜14頭 / 30倍〜,32,0,0.0,3200,0,0.0,-3200
3,勝率差帯 × オッズ帯 × 距離帯,差<3% / 10〜30倍 / 短距離,39,0,0.0,3900,0,0.0,-3900
3,人気帯 × 芝ダ × オッズ帯,7番人気〜 / ダート / 30倍〜,40,0,0.0,4000,0,0.0,-4000
3,頭数帯 × 芝ダ × オッズ帯,11〜14頭 / ダート / 30倍〜,31,0,0.0,3100,0,0.0,-3100
