軸数,条件,値,レース数,的中数,的中率,投資額,払戻額,回収率,収支
3,人気帯 × オッズ帯 × 距離帯,4〜6番人気 / 3〜10倍 / 短距離,117,10,8.5,11700,7880,67.4,-3820
3,勝率差帯 × 頭数帯 × 距離帯,差<3% / 11〜14頭 / 短距離,131,24,18.3,13100,8810,67.3,-4290
3,勝率差帯 × 距離帯 × パターン,差10%〜 / 短距離 / 本命型,378,123,32.5,37800,25420,67.2,-12380
2,勝率差帯 × 距離帯,差10%〜 / 短距離,378,123,32.5,37800,25420,67.2,-12380
2,距離帯 × パターン,短距離 / 本命型,378,123,32.5,37800,25420,67.2,-12380
3,勝率差帯 × 距離帯 × パターン,差<3% / マイル / 波乱型,72,15,20.8,7200,4840,67.2,-2360
3,人気帯 × 頭数帯 × 距離帯,4〜6番人気 / 15頭〜 / 短距離,100,8,8.0,10000,6700,67.0,-3300
3,勝率差帯 × 頭数帯 × オッズ帯,差10%〜 / 〜10頭 / 〜3倍,239,95,39.7,23900,16000,66.9,-7900
3,頭数帯 × オッズ帯 × パターン,〜10頭 / 〜3倍 / 本命型,239,95,39.7,23900,16000,66.9,-7900
3,頭数帯 × 芝ダ × 距離帯,15頭〜 / 芝 / 短距離,349,68,19.5,34900,23310,66.8,-11590
3,人気帯 × オッズ帯 × パターン,1番人気 / 3〜10倍 / 波乱型,113,22,19.5,11300,7500,66.4,-3800
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 15頭〜 / マイル,78,21,26.9,7800,5180,66.4,-2620
3,人気帯 × 頭数帯 × 芝ダ,1番人気 / 〜10頭 / ダート,97,40,41.2,9700,6420,66.2,-3280
2,人気帯 × オッズ帯,4〜6番人気 / 10〜30倍,107,6,5.6,10700,7050,65.9,-3650
3,頭数帯 × 芝ダ × オッズ帯,11〜14頭 / ダート / 10〜30倍,35,2,5.7,3500,2300,65.7,-1200
3,勝率差帯 × オッズ帯 × 距離帯,差10%〜 / 3〜10倍 / 短距離,85,16,18.8,8500,5570,65.5,-2930
3,オッズ帯 × 距離帯 × パターン,3〜10倍 / 短距離 / 本命型,85,16,18.8,8500,5570,65.5,-2930
3,勝率差帯 × 頭数帯 × オッズ帯,差5〜10% / 11〜14頭 / 〜3倍,173,55,31.8,17300,11320,65.4,-5980
3,勝率差帯 × 頭数帯 × パターン,差3〜5% / 11〜14頭 / 混戦型,141,29,20.6,14100,9180,65.1,-4920
3,頭数帯 × 芝ダ × パターン,〜10頭 / ダート / 混戦型,92,21,22.8,9200,5970,64.9,-3230
3,人気帯 × 頭数帯 × 距離帯,1番人気 / 〜10頭 / マイル,57,20,35.1,5700,3690,64.7,-2010
2,距離帯 × パターン,マイル / 波乱型,115,24,20.9,11500,7410,64.4,-4090
3,人気帯 × 距離帯 × パターン,2〜3番人気 / 短距離 / 本命型,56,11,19.6,5600,3600,64.3,-2000
3,人気帯 × 勝率差帯 × 距離帯,2〜3番人気 / 差10%〜 / 短距離,56,11,19.6,5600,3600,64.3,-2000
